50,50,50,3.72,21,50,50,50,2
50,50,50,3.78,21.2,50,50,50,2
50,50,50,3.81,21.38,50,50,50,2
50,50,50,3.79,21.33,50,50,50,2
50,50,50,3.74,21.09,50,50,50,2
50,50,50,3.81,21.35,50,50,50,2
50,50,50,3.69,21.05,50,50,50,2
50,50,50,3.72,21.06,50,50,50,2
50,50,50,3.74,21.09,50,50,50,2
50,50,50,3.78,21.38,50,50,50,2
15.68,50,50,50,50,50,50,2.47,0
15.6,50,50,50,50,50,50,2.5,0
15.65,50,50,50,50,50,50,2.5,0
15.7,50,50,50,50,50,50,2.49,0
15.68,50,50,50,50,50,50,2.46,0
15.67,50,50,50,50,50,50,2.49,0
15.74,50,50,50,50,50,50,2.42,0
15.69,50,50,50,50,50,50,2.41,0
15.72,50,50,50,50,50,50,2.47,0
15.68,50,50,50,50,50,50,2.42,0
15.74,50,50,50,50,50,50,2.41,0
6.45,4.21,50,50,50,50,50,50,1
6.52,4.22,50,50,50,50,50,50,1
6.49,4.33,50,50,50,50,50,50,1
6.47,4.26,50,50,50,50,50,50,1
6.49,4.17,50,50,50,50,50,50,1
6.37,4.22,50,50,50,50,50,50,1
6.54,4.24,50,50,50,50,50,50,2
6.44,4.26,50,50,50,50,50,50,2
6.49,4.24,50,50,50,50,50,50,2
6.37,4.2,50,50,50,50,50,50,2
6.4,4.24,50,50,50,50,50,50,2
50,50,24.06,3.93,50,50,50,50,0
50,50,24.16,3.95,50,50,50,50,0
50,50,24.08,3.97,50,50,50,50,0
50,50,24.1,3.95,50,50,50,50,0
50,50,23.25,3.91,50,50,50,50,0
50,50,24.13,3.95,50,50,50,50,0
50,50,24.04,3.9,50,50,50,50,0
50,50,24.23,3.86,50,50,50,50,0
50,50,24.27,3.92,50,50,50,50,0
50,50,24.24,3.9,50,50,50,50,0
50,50,24.13,3.93,50,50,50,50,0
50,50,50,50,50,50,22.67,3.49,1
50,50,50,50,50,50,22.76,3.55,1
50,50,50,50,50,50,22.76,3.52,1
50,50,50,50,50,50,22.66,3.54,1
50,50,50,50,50,50,22.69,3.57,1
50,50,50,50,50,50,22.79,3.57,1
50,50,50,50,50,50,22.67,3.65,1
50,50,50,50,50,50,22.59,3.64,1
50,50,50,50,50,50,22.58,3.55,1
50,50,50,50,50,50,22.62,3.62,1
50,50,50,50,50,50,22.64,3.64,1
